set_num,source,item_id,dimension,assessor_llm,answer,answer_bin
1,human,Fluency1,Fluency,gemini,Ja,1.0
1,human,Fluency2,Fluency,gemini,Nee,0.0
1,human,Fluency3,Fluency,gemini,Nee,0.0
1,human,Fluency4,Fluency,gemini,Nee,0.0
1,human,Fluency5,Fluency,gemini,Nee,0.0
1,human,Flexibility1,Flexibility,gemini,Nee,0.0
1,human,Flexibility2,Flexibility,gemini,Nee,0.0
1,human,Flexibility3,Flexibility,gemini,Ja,1.0
1,human,Originality1,Originality,gemini,Ja,1.0
1,human,Originality2,Originality,gemini,Nee,0.0
1,human,Originality3,Originality,gemini,Ja,1.0
1,human,Elaboration1,Elaboration,gemini,Nee,0.0
1,human,Elaboration2,Elaboration,gemini,Nee,0.0
1,human,Elaboration3,Elaboration,gemini,Ja,1.0
1,gemini,Fluency1,Fluency,gemini,Ja,1.0
1,gemini,Fluency2,Fluency,gemini,Ja,1.0
1,gemini,Fluency3,Fluency,gemini,Ja,1.0
1,gemini,Fluency4,Fluency,gemini,Ja,1.0
1,gemini,Fluency5,Fluency,gemini,Ja,1.0
1,gemini,Flexibility1,Flexibility,gemini,Nee,0.0
1,gemini,Flexibility2,Flexibility,gemini,Ja,1.0
1,gemini,Flexibility3,Flexibility,gemini,Ja,1.0
1,gemini,Originality1,Originality,gemini,Nee,0.0
1,gemini,Originality2,Originality,gemini,Nee,0.0
1,gemini,Originality3,Originality,gemini,Nee,0.0
1,gemini,Elaboration1,Elaboration,gemini,Ja,1.0
1,gemini,Elaboration2,Elaboration,gemini,Ja,1.0
1,gemini,Elaboration3,Elaboration,gemini,Ja,1.0
2,human,Fluency1,Fluency,gemini,Ja,1.0
2,human,Fluency2,Fluency,gemini,Nee,0.0
2,human,Fluency3,Fluency,gemini,Ja,1.0
2,human,Fluency4,Fluency,gemini,Ja,1.0
2,human,Fluency5,Fluency,gemini,Ja,1.0
2,human,Flexibility1,Flexibility,gemini,Nee,0.0
2,human,Flexibility2,Flexibility,gemini,Ja,1.0
2,human,Flexibility3,Flexibility,gemini,Ja,1.0
